gene,1,2,3,4,5,6,7,8
P0A345,0.6213955743868255,0.30272261891819463,-0.3973283566498741,1.3025643589021334,1.3472895524318529,-0.5041926894547792,-1.2194220881253799,-1.4530289704089983
P48859,0.4450869342161157,0.4095121138490458,0.6791057104059749,1.5163109980140437,0.2202593059631348,-0.1756642418879364,-1.491926317247115,-1.6026845033133221
Q9L0T9,0.8855983937464033,0.4262464898198993,1.186329316371227,0.9804622831807774,0.1770654667049137,-0.9769888630232296,-1.5535230214264142,-1.1251900653735847
Q9F2Q3,-1.2879713069723866,-0.12000428243870327,0.1399662440854569,-1.1103213501410087,-0.6744606950518736,0.11356441044543071,1.0907974991747902,1.8484294808983706
P66337,2.334470754170956,0.22338677739655555,-0.07907344352110422,-0.21945769322356232,0.303295536850728,-0.5351121856832247,-0.9356548152614484,-1.0918549307290748
Q9K4H3,0.4925247941365781,0.5600382401496119,0.7984863978822839,1.0014897625911072,0.7880464608769057,-0.5000934588706676,-1.5897129095432907,-1.5507792872225854
O86773,1.4545413773594347,0.9004652157869171,0.6827501999683105,0.43706422324497696,-0.05956704789433362,-0.6030090019061422,-1.1884417074103824,-1.6238032591488554
O86713,-1.9531379970182707,-0.5128571716638278,-0.36903457199905865,0.062376106609192204,-0.3305297270147985,0.5055013368644728,1.1515407395824064,1.4461412846399018
Q9X8U2,1.778827442406317,0.2783310198106693,0.795933225650637,0.7962941612557747,-0.8872018286263834,-0.7939331605239093,-1.2451311872206614,-0.7231196727524928
Q9L1I1,0.616379251603734,1.4601568770186217,0.10253091040780175,1.2293943305489259,-0.11805368267486872,-1.564800816900435,-0.7770779964046834,-0.9485288735990408
Q9Z548,1.2382853283535025,0.7741605846523931,0.9152816435793328,0.40139061479524296,0.2904217963317207,-0.7087894749543636,-1.6062201450342286,-1.304530347723552
Q9KY55,-0.27900914075615546,0.5629063006520797,1.0630243021230872,1.4432696299369183,0.31193835605195325,-0.3086644989027116,-1.0107661660103189,-1.782698783094811
P40174,1.6777117026133213,0.957081020856719,0.21943367832675226,0.10186300518878558,0.18402005816723085,-0.30195767550029456,-1.589600880187312,-1.2485509094652023
O31212,0.700920158289122,1.0362930209806178,0.9367405340378976,0.7278329042732161,-0.4200200715252902,-0.05290966752740051,-0.9356248174598519,-1.9932320610680727
Q9K4E5,2.0816972977954227,0.44637565402049234,0.20780022009179464,0.47695538349438943,-0.8927104807423959,-1.0939824910327347,-1.088032968801739,-0.1381026148250009
Q9X8T5,1.1691125100112911,1.442048671129228,0.7593718587120458,0.2578400085914846,-0.3581961274196331,-0.8698677579923719,-0.9310560326214447,-1.4692531304106182
O86655,-2.2636226254327685,0.7265143820134019,-0.4276558720066272,1.175360107606277,0.713112508181358,0.4174354492748636,-0.0241869787984748,-0.316956970838543
P48950,1.2115123789171298,1.2754927287072417,0.6733891857254286,0.539507329682047,-0.6260035839922562,-0.4533717241380148,-1.055479514384694,-1.565046800516882
Q9KXU7,0.769774198646018,0.6491462216095055,0.45859515711881305,1.2462973414318896,0.5575926665974821,-0.7173813975280594,-1.5279737092132586,-1.436050478662373
Q9L1E1,-1.976211946209189,1.6949977372596519,0.2706600968774072,0.43912184039604274,0.19924554807647069,0.3596378805215285,-0.8803235921668862,-0.10712756475498243
Q9L0K4,-1.805786916110625,-1.613571862644829,0.22526389048163134,0.46894240022181083,0.7340099620196049,0.7182904266696034,0.6427769468078309,0.6300751525548693
Q9L0D2,-0.5838056324796794,-1.6110184328315822,-1.492976797885316,0.5112985991505208,0.6076684654859389,0.8039331822006618,0.8961979960279769,0.8687026203315014
P40171,0.024172796795998864,0.8212746301495648,1.3593251583939026,-0.19601008140210463,0.8291076704020245,0.21094941870506254,-1.3524080847912083,-1.6964115082531677
P0A3H5,-0.9267748688669413,0.026952936017255045,0.7789478991725319,0.9107205367907922,-2.209567973474226,0.18231831769942036,0.7263497914560955,0.5110533612049184
P41103,-0.7261266503362404,0.9411217264268128,-0.16925612665829418,0.5606294596354351,-1.911033630483482,1.5091404193564035,-0.48539393836447964,0.2809187404238448
P80735,-0.0021624132964264066,-1.3313640742331783,0.4654615434069908,-0.7524716319154665,2.0252372992778027,-0.9965113484773468,0.591587681453481,0.00022294378412956257
Q9ZBR5,-0.5810741497961344,-0.22212298418556972,1.216065746806287,0.033296440622508944,-0.7199437977846304,-1.1721811135084332,1.9869740089597945,-0.5410141511137685
