"gene","1","2","3","4","5","6","7","8"
"P0A345",17.5717520316408,17.6245902180505,16.5496344539954,17.3511828715852,17.43873986931,17.0556410899441,16.7860809300894,16.2604429592517
"P48859",17.8503634807876,17.7622577832721,17.8954027534323,17.8254594510735,17.7730452141208,17.6364995861059,17.8230232984999,17.7410667389137
"Q9L0T9",17.6374031750447,17.8570689797185,17.8076482974533,17.8619894211073,17.6616130182056,17.5992542286863,17.4127381605828,17.2119021827667
"Q9F2Q3",17.6177105996634,17.5231917503486,17.4561206912318,17.6321150977298,17.7645370904692,17.7339902005993,17.6891144875056,17.6009604400465
"P66337",17.0195741425002,17.1448928308736,17.2427971039978,17.2470491080041,17.1871248494389,16.9127928899546,17.0886273873048,17.0285479957645
"Q9K4H3",16.6400856353417,16.8926119011677,16.9786859740447,16.9254583767934,16.847712383664,16.0051174289194,16.2929752259981,15.9685786361347
"O86773",17.4696194222458,17.3110951314296,17.1681517972807,16.7700152887253,16.7211818084274,16.4245589897938,16.2355174129482,16.1983925700274
"O86713",16.4905563158039,16.7863619949918,16.7985221067888,16.9107540634294,16.7632822022119,17.0805344361593,17.4038169617675,17.3188308471652
"Q9X8U2",17.1044222081406,17.1209536395253,16.9815353924724,16.8928343164303,16.6979653858551,16.5381036273162,16.6301565513661,16.5891957004229
"Q9L1I1",15.9425681715335,15.79885628074,16.4498805768098,16.2819775649514,16.2668893498723,16.0187136503556,15.8702361727588,16.204662362821
"Q9Z548",16.6047902990974,16.3425084612039,16.2272413012843,16.4646616262263,16.3780350935577,16.2782861681445,16.5196518299162,16.4450443622902
"Q9KY55",17.5392754112196,17.6089654276777,17.5505383223011,17.5791607877432,17.6195491527001,17.5587085021186,17.5312323262308,17.411836544847
"P40174",17.8262179499182,17.8835236220789,17.5655421749111,17.877381116342,17.6074791442239,17.5725983836157,17.315467210442,17.2836410367531
"O31212",17.5281690761824,17.5083845443132,17.4511964720121,17.4356202991263,17.4310026495167,17.3424497281408,17.3594975378797,17.3068213810137
"Q9K4E5",16.9568660822867,17.0045195372646,17.0325293312207,16.9080170717998,16.8571398517533,16.6051263479357,16.4937086796421,15.9579254943876
