"gene","33h","41h","45h","49h","53h","57h","61h","65h"
"Q9FBQ0",0.091520458827538,0.070196316039286,0.047683653271983,0.32091742563497,0.036398931049761,0.060704486605316,0.649629497634409,0.678092637834168
"Q8R6K2",0.091520458827538,0.070196316039286,0.248751987440657,0.32091742563497,0.943868334818085,0.060704486605316,0.114089903271983,0.678092637834168
"Q9FBV4",0.61152736218348,0.720255552495601,0.248751987440657,0.074593375494205,0.036398931049761,0.060704486605316,0.649629497634409,0.112353792160872
"Q93S15",1.33990087483621,1.22926590780661,0.420471640298696,2.06379976941291,1.14547577547235,0.060704486605316,0.847665896635895,0.679394721167501
"Q9FBV6",0.091520458827538,0.070196316039286,0.248751987440657,1.18273420973895,0.473424715633507,0.698896541364381,0.776864578070187,0.112353792160872
"Q9FBV7",0.61152736218348,0.070196316039286,0.047683653271983,0.074593375494205,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1Y7",0.091520458827538,0.070196316039286,0.047683653271983,0.32091742563497,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1Y6",0.091520458827538,0.070196316039286,0.62153997446737,0.606486388319457,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1Y5",0.091520458827538,0.070196316039286,0.420471640298696,0.074593375494205,0.036398931049761,0.060704486605316,0.727015045220383,0.112353792160872
"Q9S1Y4",0.61152736218348,0.070196316039286,0.420471640298696,0.606486388319457,0.283036317572552,0.357659604964298,0.114089903271983,0.112353792160872
"Q9S1Y3",0.091520458827538,0.070196316039286,0.047683653271983,0.074593375494205,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1Y2",0.091520458827538,0.810808662281012,0.047683653271983,0.074593375494205,0.283036317572552,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1Y0",0.091520458827538,0.070196316039286,0.047683653271983,0.074593375494205,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1X9",0.091520458827538,0.070196316039286,0.047683653271983,0.074593375494205,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1X8",0.091520458827538,0.070196316039286,0.047683653271983,0.074593375494205,0.036398931049761,0.060704486605316,0.649629497634409,0.112353792160872
"Q9S1X7",0.091520458827538,0.070196316039286,0.047683653271983,0.606486388319457,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1X6",0.091520458827538,0.070196316039286,0.047683653271983,0.074593375494205,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1X5",0.719355527268787,1.46086789873733,0.623931474691477,0.074593375494205,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1X4",0.091520458827538,0.070196316039286,0.047683653271983,0.074593375494205,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q8CK71",1.13797119228553,0.070196316039286,0.047683653271983,0.074593375494205,0.401122365998148,0.060704486605316,0.727015045220383,0.679053002469255
"Q9S1X1",6.31456414111118,6.72099614622018,5.8378939430595,4.91073447130022,6.08852849802567,5.92369484738778,5.75735900229738,5.81688873504283
"Q8R5N1",4.19308740982609,4.1129794786125,4.25339039094207,4.48206530642693,4.38007109352425,4.79719406190013,4.90211927360952,4.64526142332931
"Q9S1W7",2.15046222177207,2.55254232778018,2.7674491572695,1.8758571624768,3.11657136592968,3.77576454881693,3.12849549608638,3.32452745504799
"Q9S1W6",8.14160667760496,8.25881545978053,7.79175027738182,7.21355777878651,7.82895205787387,7.69314858015697,7.74013666149039,7.97471063552508
"Q9S1W5",3.7922989001268,4.07519203721976,4.61361988180977,4.13250465695816,4.28410638016288,4.37255787222618,4.25224818900922,3.96507468682315
"Q9S1W4",3.03436094843047,2.65875453375194,2.86436644212908,2.16425077082026,2.91634498966047,2.74389679364752,3.01273083335532,3.19006009840542
"Q9S1W3",5.44593416471438,5.22962644146886,4.77703056940147,4.47255100246217,4.17381519434184,4.40300666266481,4.47616556744134,4.4654659214607
"Q9S1W2",3.77978266294803,4.11951918403045,4.43011890630192,4.23404744301724,4.34240766808973,4.27319157004063,4.64779018583831,4.31549248261263
"Q9S1W1",6.55235172268155,6.66770498681966,6.24745654680754,8.12754647804371,7.71522653490988,7.63982288997516,7.53074354893568,7.72855295774088
"Q9S1W0",0.091520458827538,0.070196316039286,0.047683653271983,0.074593375494205,0.036398931049761,0.060704486605316,0.114089903271983,0.112353792160872
"Q9S1V9",6.38411817597042,6.32213428149531,6.4331858475081,12.0815173548735,11.4921439378707,11.2714039431493,11.3341925753171,11.3665534583086
"Q9S1V8",3.98324728050422,3.91804213439706,4.01599606244242,4.16445494067928,4.11392832143311,4.20495862385237,4.36156044671371,4.38372839462811
"Q9S1V7",3.56094711664402,3.40331214975072,3.61990315295807,3.56589645130321,3.46753531180891,3.36777055366202,3.72944003483232,3.93399231327702
"Q9S1V6",3.91308941378172,4.35332936516485,3.96022890515819,3.87703454262745,3.70528724468716,3.73344632132717,3.76766696732432,3.70890897309461
"Q9S1V5",8.2176549579233,8.25599278664661,7.963404405188,8.06581901404229,8.03074232041043,7.79356982611173,7.86638880008699,7.89290302820923
"Q9S1V4",6.06100634436875,6.19969157966645,5.2418728017755,5.77703435801016,5.29562927279245,5.85166759946784,5.35031191352309,5.76488751450781
"Q9S1V3",5.17424245047052,4.89510322393049,5.12439715663611,5.18685484479552,5.04066414181797,5.41838665280858,5.28978262117268,5.24414824501554
"Q9S1V2",5.24196611280971,5.27925138232477,5.79176644468387,5.62208134711509,5.91082213037007,5.78219107423619,5.98434325563597,5.89674598868813
"Q9S1V1",4.39227111782416,4.43156054315328,4.77080395720534,4.82026429207026,4.51677558552143,4.63127653134046,4.4574748538668,4.79537558009552
"Q9S1V0",5.00867066330027,5.23912757548654,5.38729399598455,5.25751910738983,5.69200548393677,5.39861153584259,5.81049375166661,5.77393960933365
"Q9S1U9",6.11489163645226,6.35978104862134,6.07273342734593,6.56281660414434,6.51046050333818,6.43330440595443,6.16700553959586,6.32733504349587
"Q9S1U8",4.78178202582976,4.38881619975014,4.91839698677466,4.54538311831774,4.83499041472786,4.6560235608235,4.96274819346251,5.03558027024242
"Q9S1U7",2.57065289144724,1.88822476764744,1.54266339157233,1.45698491483943,2.07175193473265,1.80400395713392,2.48671866119967,2.83412085025014
"Q9S1U6",4.99157153349001,4.68821550108048,4.66886965113658,5.00550701091978,4.81395479631338,4.90726145956209,5.16195111990533,4.90677300991689
"Q9S1U5",8.09264379114722,8.1174189652661,8.09070308293147,7.74885122765748,8.06408666417945,7.96788685847611,8.0568469634211,8.21103339579785
"Q9S1U4",4.51225109000362,4.17270876295331,4.040133424836,3.44163232074803,4.0408569084766,3.84805043384726,4.0121728952102,4.23296532238363
"Q9S1U3",5.3062966482282,5.53051499354223,4.22856038547032,4.86854412401722,4.65321262417871,4.42829494893182,4.39604095568064,4.46236340704714
"Q9S1U2",6.43632835280821,6.85106939161986,5.79426447073037,6.46780057203304,6.14465474536209,6.27666644982838,5.96629587586497,6.3342357820141
