gene,PM,MM,BN,SN,PMN
ENSG00000138326,1508.478,823.2214,553.7444,392.7164,138.4343
ENSG00000138363,6.93440356,0.47974528,0.70371076,1.46075628,0.05732649
ENSG00000138385,36.817024,33.60477,25.233603,10.275293,3.380733
ENSG00000138398,21.31628,27.88049,30.2911,41.08598,35.09783
ENSG00000138413,22.339154,13.282436,9.796115,12.769412,8.535147
ENSG00000138430,22.7154189,14.8005413,10.8080218,4.9369533,0.9680197
ENSG00000138496,7.304737,10.116315,10.679821,66.049684,107.968054
ENSG00000138592,17.06643,26.96773,33.61642,44.19982,51.46994
ENSG00000138594,17.62227,64.16431,86.15932,53.12957,52.29115
ENSG00000138600,24.61851,49.67597,52.74459,59.36216,60.89016
ENSG00000138614,11.9333853,6.6836974,3.8817468,2.6380245,0.8155644
ENSG00000138621,5.841471,4.503632,4.959079,86.455256,218.837583
ENSG00000138663,15.969047,18.336295,16.113079,6.134951,5.864874
ENSG00000138668,55.48627,38.6207,34.88436,35.23859,44.64931
ENSG00000138674,48.41685,39.08118,35.58404,23.30036,33.19921
ENSG00000138678,0.9441311,30.4474473,72.1859784,72.2447894,44.2182798
ENSG00000138750,18.494069,11.75147,7.971355,6.207386,6.852518
ENSG00000138757,36.11687,33.04552,38.68234,35.27413,53.31565
ENSG00000138760,10.6368,8.735626,7.671591,5.793012,4.04757
ENSG00000138767,25.17951,24.43881,30.69825,26.69832,38.64949
ENSG00000138768,14.58852,14.47019,15.82294,15.02438,15.35007
ENSG00000138777,47.7341,31.84196,21.49661,16.27903,17.31454
ENSG00000138794,7.27618,2.230537,1.349117,1.580821,0.329776
ENSG00000138796,13.969737,4.3824078,1.8268383,2.1004611,0.2358773
ENSG00000138801,18.12074,24.05355,17.68777,15.31096,27.81109
ENSG00000138802,6.405035,10.654578,12.990065,16.554944,19.526853
ENSG00000138814,13.54094,34.95376,46.79842,56.42702,69.77767
ENSG00000138964,58.12846,110.99486,103.84562,111.49003,115.84237
ENSG00000139083,16.849367,9.315923,11.683055,24.694503,36.687374
ENSG00000139132,19.12213,50.35537,67.12703,65.5165,55.86038
ENSG00000139178,20.80474,53.38947,51.9062,58.18544,79.08165
ENSG00000139180,26.510127,32.142742,34.114498,7.422013,7.981927
ENSG00000139218,54.36209,67.68633,64.51209,93.13391,136.30029
ENSG00000139343,14.4449442,7.5748368,3.5040786,2.6209764,0.3603506
ENSG00000139370,73.80997,27.86234,15.82006,59.42093,223.10684
ENSG00000139433,10.88928,20.40339,32.13755,26.43753,17.4874
ENSG00000139436,51.49768,89.39894,108.94312,151.36779,175.89191
ENSG00000139496,15.99544,25.52834,55.12132,63.72851,45.08772
ENSG00000139505,5.731134,11.855009,24.016441,33.885918,23.727603
ENSG00000139572,2.2858379,42.1241172,64.0153049,10.8120358,0.3628417
ENSG00000139613,31.06304,27.51899,21.55981,25.5235,33.78505
ENSG00000139637,8.089901,4.726832,4.252053,4.651224,3.843406
ENSG00000139641,12.866007,12.282723,16.174329,9.744383,3.055966
ENSG00000139644,170.769,209.5499,241.7988,289.9387,411.346
ENSG00000139684,36.592512,30.236004,20.790065,12.662205,2.449599
ENSG00000139719,7.647546,13.187462,16.411577,9.333586,9.827821
ENSG00000139722,7.907752,10.430817,22.467911,47.333211,50.94296
ENSG00000139725,8.595895,19.223716,24.740642,16.292521,13.082194
ENSG00000139726,13.26899,15.37125,17.01417,12.53066,12.81296
ENSG00000139746,20.92624,20.26026,17.955,17.40438,17.18919
ENSG00000139842,22.38454,18.13482,16.11214,10.49886,8.3133
ENSG00000139921,24.474133,33.388285,20.726836,13.186579,9.070967
ENSG00000140105,23.35195,47.74122,67.27744,60.29782,128.65125
ENSG00000140259,7.545557,7.072841,8.319983,8.820981,13.804881
ENSG00000140263,3.97465,2.0152,2.807663,4.158252,2.997979
ENSG00000140264,356.1561,326.0262,336.3556,261.1278,203.3991
ENSG00000140284,6.085981,15.29671,25.774458,6.129171,0.191496
ENSG00000140299,65.03297,95.41401,128.63432,131.41054,130.90205
ENSG00000140319,64.48112,81.017,82.05313,73.85727,66.90976
ENSG00000140350,74.79925,91.05066,98.25951,123.90217,135.29006
ENSG00000140365,26.675889,15.64843,13.465298,7.975512,2.595646
ENSG00000140368,58.04347,88.12184,105.58979,103.27611,101.75325
ENSG00000140374,40.79014,30.62158,26.35378,18.60828,16.31295
ENSG00000140382,9.828273,8.275625,7.127173,4.463767,2.337405
ENSG00000140395,31.073578,19.990937,12.892458,6.192352,2.78502
ENSG00000140455,14.87153,50.04266,92.89955,176.59792,178.96137
ENSG00000140464,19.115207,10.793026,7.714954,10.142501,14.142428
ENSG00000140497,27.82463,38.16574,37.09987,26.65057,27.85514
ENSG00000140525,48.389782,20.935454,5.522537,4.749619,1.595468
ENSG00000140553,17.272969,19.82376,18.640478,9.185386,9.407136
ENSG00000140563,45.556,52.7118,59.00028,165.22849,247.06643
ENSG00000140575,36.48977,164.16702,270.80638,454.80114,615.21989
ENSG00000140598,10.5264852,8.1144889,4.5983899,2.2421603,0.9875567
ENSG00000140612,83.61794,90.69204,65.0373,53.80849,52.12842
ENSG00000140650,10.6678,6.423362,6.895822,9.034716,7.077334
ENSG00000140678,2.683342,2.977933,26.004741,385.050635,580.942943
ENSG00000140688,15.9958449,6.6084638,4.6641698,2.9820754,0.7054282
ENSG00000140694,12.57091,13.40162,15.56622,23.43697,27.02959
