gene,PM,MM,BN,SN,PMN
ENSG00000000419,28.60505,28.18745,27.81717,27.1586,27.01905
ENSG00000000938,27.92603,30.80828,31.61068,32.14608,32.0452
ENSG00000001036,27.57355,27.221,27.04418,26.0829,25.9592
ENSG00000001084,27.63325,26.7666,27.1782,26.99683,26.49793
ENSG00000001167,24.52695,24.8158,24.6524,24.4704,24.6041
ENSG00000001497,25.8281,25.8622,23.7524,24.31907,24.17253
ENSG00000001561,25.7591,27.91943,28.4646,27.67312,27.30898
ENSG00000001630,25.31665,24.41783,23.85555,24.5535,24.5723
ENSG00000002549,30.59437,30.01395,29.86638,29.61948,28.994
ENSG00000002822,24.72362,24.42938,24.62775,25.03065,24.62552
ENSG00000002834,29.647,30.63723,30.60105,31.19172,31.9076
ENSG00000003056,28.7896,27.19793,25.10102,24.905,24.676
ENSG00000003400,27.18735,28.10807,28.23385,27.96627,27.92395
ENSG00000003402,24.81658,24.13648,23.93283,24.79658,24.25872
ENSG00000004059,28.9395,29.6282,29.69037,29.98848,29.2009
ENSG00000004142,25.2865,24.61758,24.17087,24.68838,24.71355
ENSG00000004455,30.68555,30.26282,29.33608,27.98695,28.95457
ENSG00000004468,26.83728,25.28797,24.7344,25.03525,24.5511
ENSG00000004478,28.6387,27.29673,27.25392,27.03438,26.42325
ENSG00000004487,28.82955,28.1438,27.55653,26.1631,24.50778
ENSG00000004700,28.40748,27.95753,27.6545,27.539,27.90048
ENSG00000004766,24.85322,24.9069,24.58395,24.4617,24.7344
ENSG00000004779,26.4082,26.77055,25.48985,25.25972,24.85223
ENSG00000005007,29.60128,29.20065,28.92817,28.56893,28.73565
ENSG00000005020,29.67502,29.88678,30.0605,29.87673,30.1354
ENSG00000005022,29.90048,29.106,28.52763,28.37193,28.08445
ENSG00000005075,26.7694,26.34153,24.72792,24.78797,24.9623
ENSG00000005156,28.5969,28.518,28.29995,27.45737,27.14275
ENSG00000005194,26.85615,26.05777,25.81242,25.39283,25.54375
ENSG00000005381,37.9758,37.5954,37.4407,37.4624,37.27003
ENSG00000005810,26.06193,25.76698,26.04478,26.15358,25.97447
ENSG00000005844,24.97035,27.39682,28.36403,29.07578,28.88727
ENSG00000005961,24.65275,24.65243,23.83373,25.27828,26.22673
ENSG00000006125,29.83045,29.9024,29.98913,30.2439,30.3167
ENSG00000006451,26.09642,26.84192,27.0865,26.98958,26.50773
ENSG00000006530,27.5423,26.89108,26.47705,25.33505,24.90042
ENSG00000006534,29.76257,30.51175,30.6854,30.56658,30.35527
ENSG00000006625,28.35493,28.13873,28.44612,28.3414,28.25108
ENSG00000006712,25.37707,25.1048,25.08308,24.85787,24.71043
ENSG00000006715,26.7639,26.13607,26.44865,26.81685,26.99012
ENSG00000007080,26.41303,25.84195,25.1513,24.9184,25.24492
ENSG00000007168,28.40505,29.05163,29.08373,29.4284,28.97335
ENSG00000007237,25.06692,26.84007,27.03118,26.8782,26.27415
ENSG00000008018,30.84083,30.7522,30.70825,30.71345,30.69515
ENSG00000008130,28.1616,29.45437,29.9553,30.32678,30.02027
ENSG00000008282,29.0509,28.9776,28.79085,28.77895,28.60925
ENSG00000008394,29.60625,30.15505,29.46145,28.6873,29.02518
ENSG00000008438,24.3273,31.7234,32.78522,33.13908,33.10433
ENSG00000008516,24.9769,24.93875,26.41418,29.3542,28.9268
ENSG00000008869,26.5286,26.26353,26.38453,26.14327,26.06505
ENSG00000008952,26.95125,27.01647,26.53385,26.50972,26.26915
ENSG00000008988,31.6422,31.0018,30.54637,29.38725,28.8496
ENSG00000009307,28.55435,27.91737,27.31502,25.5883,26.08282
ENSG00000009335,26.82907,26.8155,26.84702,26.7102,26.55213
ENSG00000009790,24.99948,24.80335,25.77032,26.0163,25.6773
ENSG00000009844,27.22717,27.38208,27.46755,28.03578,27.90725
ENSG00000009954,28.47555,28.35223,27.72675,27.39005,26.63287
ENSG00000010017,26.09533,25.6579,25.7118,24.7588,24.60505
ENSG00000010244,28.07043,28.33505,28.26925,27.7414,27.26738
ENSG00000010256,30.80258,30.54102,29.87367,29.59575,29.56695
ENSG00000010292,28.90028,28.9351,27.10898,26.37118,25.53732
ENSG00000010671,28.55883,28.59637,28.64422,28.59388,28.6822
ENSG00000011009,27.4344,27.56925,27.80457,27.68257,27.9502
ENSG00000011052,30.02372,29.24598,28.96095,29.0943,28.83705
ENSG00000011260,25.19712,24.4171,24.38058,24.62752,24.7897
ENSG00000011304,31.50668,31.60742,31.267,31.04775,30.72488
ENSG00000011422,24.47577,26.34352,27.85688,28.54577,28.5523
ENSG00000011485,27.7916,27.32722,27.61552,27.561,27.458
ENSG00000011600,26.66098,26.19803,26.11255,26.57303,27.59802
ENSG00000012223,32.02938,37.56915,38.44683,38.64648,38.44862
ENSG00000012660,25.12015,26.72168,26.4696,25.77933,25.04073
ENSG00000012779,26.96085,31.79058,32.48395,32.57285,32.76172
ENSG00000013275,29.2807,29.05735,29.13457,29.28562,29.20027
ENSG00000013364,30.57915,31.47413,31.85835,32.04393,31.73657
ENSG00000013374,25.1266,24.82,24.52055,25.3105,24.83342
ENSG00000013375,25.4052,25.6213,24.81157,25.3725,24.3796
ENSG00000013583,26.61932,26.73262,26.79815,26.9947,26.5579
ENSG00000013810,26.05642,25.62645,24.66858,26.04458,26.24598
ENSG00000014123,30.62395,30.33403,30.12342,29.59723,29.58415
ENSG00000014216,32.29963,32.49155,32.69582,32.6945,32.75597
ENSG00000014257,27.99845,28.6517,28.81567,28.0522,27.8351
ENSG00000014641,31.2829,31.76345,31.49977,31.46795,31.29133
ENSG00000015285,29.4382,29.95293,30.04022,30.2786,30.60347
ENSG00000015475,30.14685,30.41313,30.84338,30.84907,31.0694
ENSG00000017797,25.23522,23.84425,24.00658,25.09368,25.48578
ENSG00000018510,30.5734,30.86218,30.61625,29.43052,29.0876
ENSG00000019582,27.2429,26.79645,26.3849,25.29997,24.87755
ENSG00000020129,25.5505,25.0423,25.04743,24.34562,24.90635
ENSG00000020922,27.92265,27.53623,27.4076,27.3842,26.86052
ENSG00000021355,36.34945,36.09197,36.17897,36.17545,36.14717
ENSG00000021776,27.9255,27.77745,27.23725,26.97213,25.7629
ENSG00000022277,25.93652,26.55838,25.805,24.95528,24.9107
ENSG00000023191,32.68415,32.50778,32.31217,32.18982,32.30248
ENSG00000023228,30.5792,30.20128,29.4243,28.8586,28.6896
ENSG00000023318,31.36782,30.9518,30.65387,30.43335,30.43913
ENSG00000023697,28.79508,28.984,28.82775,28.56093,28.64682
ENSG00000023734,29.4692,29.3564,29.29937,29.0002,28.54303
ENSG00000023892,29.87625,30.25573,30.32402,30.53317,30.375
ENSG00000023909,27.7083,28.91575,29.32532,29.0435,29.45857
ENSG00000025708,28.43395,29.07317,30.24095,31.03562,30.46908
ENSG00000025770,25.20035,25.09225,24.43985,23.79103,24.34487
ENSG00000025772,26.0963,25.89967,25.00502,23.9979,24.5117
ENSG00000025796,29.93305,30.09325,29.88405,28.9089,28.88942
ENSG00000026025,32.50265,34.9743,35.63233,36.2583,36.22492
ENSG00000026297,26.25498,26.94445,26.27105,25.23873,26.6907
ENSG00000026508,25.5397,26.03282,29.30255,30.605,30.28347
ENSG00000028528,29.4135,29.59115,29.56038,29.60325,29.68498
ENSG00000029725,26.06788,26.50297,26.28187,25.0299,25.8066
ENSG00000029993,29.2836,29.62702,29.36385,29.1885,29.29583
ENSG00000030066,28.17762,27.43378,26.74817,26.94557,26.76803
ENSG00000030582,31.18895,31.59518,30.692,30.86417,30.60268
ENSG00000031698,29.82633,29.63842,29.8477,29.703,29.55682
ENSG00000031823,27.52035,27.08302,27.05685,27.0732,27.00238
ENSG00000032389,25.51612,25.23947,24.927,25.86932,25.58012
ENSG00000033011,27.33235,27.00392,26.15482,26.10575,24.76112
ENSG00000033030,25.56658,24.89232,24.7625,24.43552,24.4687
ENSG00000033050,28.1,27.43107,26.41123,24.71845,25.0058
ENSG00000033178,29.98767,30.0509,30.05443,30.06498,30.17075
ENSG00000033627,27.19843,28.5084,29.40985,29.47368,30.17073
ENSG00000034693,26.61577,27.09818,25.7027,24.77185,24.6558
ENSG00000034713,27.4734,27.34695,25.38087,25.18145,25.62967
ENSG00000035403,33.19705,33.58138,33.8433,33.89445,34.1353
ENSG00000035664,25.25007,26.28063,26.7377,27.51783,27.51448
ENSG00000035687,31.06692,32.56275,32.7036,32.04603,32.01345
ENSG00000035862,24.80232,24.433,26.4794,27.59705,27.32297
ENSG00000035928,26.4848,26.23597,25.7284,24.88952,25.17847
ENSG00000036054,24.64823,25.23007,24.40512,24.92858,24.62792
ENSG00000036257,29.03215,29.0056,29.1638,29.19195,29.07597
ENSG00000037474,27.0998,26.71603,26.7267,26.49665,25.38462
ENSG00000037757,27.14382,27.1403,26.93623,26.88737,26.5441
ENSG00000038002,28.08127,28.12833,28.46547,29.0884,28.88405
ENSG00000038219,25.1184,25.1678,25.66335,25.54247,25.59045
ENSG00000038274,29.36348,29.10902,28.6688,28.28335,28.13585
ENSG00000038358,29.2941,28.57972,28.1492,27.17765,26.79353
ENSG00000039123,29.2898,28.64185,28.00887,26.97048,25.15233
ENSG00000039319,24.79532,25.65008,25.29423,25.2044,24.78303
ENSG00000039650,26.75838,26.52273,26.55445,25.91653,25.63768
ENSG00000040341,26.1007,25.7727,25.77465,24.2867,24.59755
ENSG00000041357,30.9716,30.75965,30.66215,30.5536,30.50498
ENSG00000042088,24.73852,24.22552,23.8994,24.90302,25.26598
ENSG00000042493,31.39965,32.2375,32.7769,33.00088,33.29648
ENSG00000042753,27.69197,27.35213,27.15675,27.39207,27.1779
ENSG00000043093,27.31315,27.75102,27.83087,28.0226,28.17063
ENSG00000043462,29.34188,29.78745,29.8062,29.58798,29.67898
ENSG00000044446,30.4548,30.3006,30.38105,29.93883,30.23935
ENSG00000044574,35.2925,34.36325,33.72512,32.9837,32.8627
ENSG00000047056,25.16495,25.04017,25.63283,25.87718,26.10217
ENSG00000047230,26.87065,26.84797,25.7753,26.68708,26.84718
ENSG00000047249,28.86078,29.0738,29.18512,29.07015,29.12902
ENSG00000047315,29.16757,29.14357,28.53193,27.48605,27.53688
ENSG00000047410,30.14207,29.6845,29.4605,29.6444,29.57313
ENSG00000047457,25.38112,24.38192,25.44787,25.7597,25.68453
ENSG00000047579,24.65337,25.5865,24.9841,24.91953,25.29743
ENSG00000047849,26.43048,26.40495,27.08752,24.33932,24.833
ENSG00000048162,25.5081,23.95115,24.73752,24.03555,24.10187
ENSG00000048649,26.2422,25.20975,25.16248,24.9072,25.62485
ENSG00000048828,28.63955,28.55065,28.49778,28.10385,28.13818
ENSG00000049239,30.7622,31.06648,30.5078,30.05722,29.4972
ENSG00000049245,24.89185,25.35377,25.72583,25.89813,26.29722
ENSG00000049541,27.44902,27.16548,26.66343,25.2722,26.15415
ENSG00000049860,30.05692,29.9571,30.01605,29.76638,29.47545
ENSG00000051382,25.4592,25.29883,25.73453,25.05635,25.69187
ENSG00000051523,28.3199,30.82505,31.68,31.95133,32.02482
ENSG00000051596,26.4469,24.83057,25.4917,23.78285,23.84978
ENSG00000051620,28.18805,28.40782,28.8489,29.11155,29.34848
ENSG00000052749,28.0225,26.14037,24.66085,24.38837,24.10233
ENSG00000053371,30.15633,30.26162,29.89375,29.9611,29.9652
ENSG00000053372,26.13625,25.15093,24.08713,24.5552,24.50117
ENSG00000054116,27.81267,28.07672,28.11642,28.1528,28.1354
ENSG00000054118,29.74703,29.35947,28.95618,28.7807,28.66732
ENSG00000054148,28.5436,28.16647,28.19738,28.2869,27.92258
ENSG00000054523,25.0656,24.55147,24.96555,25.40417,25.18532
ENSG00000054611,25.33515,25.51262,25.3371,25.518,25.5065
ENSG00000054983,24.9576,25.33483,25.841,26.2007,25.77038
ENSG00000055044,29.94637,29.33922,28.96335,28.15592,28.05428
ENSG00000055130,28.91487,28.33492,28.13263,27.6331,27.23053
ENSG00000055147,27.67563,27.87477,27.72585,27.68133,28.26752
ENSG00000055163,29.44445,30.25957,30.36885,30.66055,30.78683
ENSG00000055332,29.1757,29.05625,29.48718,29.5337,29.01005
ENSG00000055950,26.3157,25.84855,24.73763,24.5882,24.7447
ENSG00000056050,25.44057,25.35615,25.06458,24.92555,25.19643
ENSG00000056097,25.30327,25.37585,25.3368,25.01537,24.8105
ENSG00000057608,33.0085,33.15455,33.14493,32.95902,33.1411
ENSG00000057663,25.2453,25.83355,25.5823,25.7015,26.67945
ENSG00000057757,26.96285,27.2699,26.96365,26.99695,27.0692
ENSG00000058063,27.52982,28.30405,28.7539,28.97093,28.94327
ENSG00000058262,29.54117,28.99513,28.30063,27.2328,27.14135
ENSG00000058668,27.55992,27.62548,27.38802,26.66185,26.6218
ENSG00000058673,27.41338,27.16777,26.71572,26.0019,25.91358
ENSG00000059377,28.47925,28.46302,28.4787,28.90537,28.8861
ENSG00000059378,24.98558,25.05197,25.67175,25.85197,24.99772
ENSG00000059573,28.92955,26.18225,25.17908,24.6,24.95737
ENSG00000059804,24.7057,27.89098,29.72775,30.54045,31.0478
ENSG00000060237,25.36788,25.83155,25.91268,26.34047,26.2653
ENSG00000060339,28.57165,28.39945,28.05278,28.1051,28.068
ENSG00000060491,27.80357,27.38743,27.77782,27.74922,27.75548
ENSG00000060688,28.0168,28.0846,28.02103,27.31893,26.98137
ENSG00000060971,28.29717,28.8091,28.45553,28.28017,28.2145
ENSG00000061794,26.86055,25.30855,25.31845,24.47747,24.50405
ENSG00000061936,25.09678,25.90195,25.95082,25.31387,24.37425
ENSG00000061987,25.30868,25.5755,25.8075,25.44975,24.68875
ENSG00000062485,31.6749,31.71683,31.43485,31.33568,31.03045
ENSG00000062598,25.4764,27.56822,27.5051,27.6535,27.81223
